,asn_loc
IN,87352
CN,34703
US,17870
DE,7271
NL,5515
RU,2713
HR,2412
CA,2326
EE,1765
KR,1765
BR,1604
GE,1541
GB,1218
FR,1101
TW,892
RO,830
UA,812
CO,770
TH,697
MD,548
LU,382
SG,343
IT,340
BG,320
TR,287
VN,284
PT,224
AU,211
IR,200
PL,173
JP,149
IL,147
CH,144
MX,140
FI,129
LR,115
ES,114
SE,112
MY,102
KH,101
HK,84
AR,64
ID,63
IS,63
RS,52
PA,52
SC,52
EG,49
HU,48
BD,45
LV,44
LT,41
MA,36
KE,35
CZ,35
VE,29
CY,29
GR,27
ZA,27
PK,27
DZ,26
NO,26
CR,20
TN,18
AL,15
SR,14
PH,13
CL,12
IE,12
NZ,12
PS,12
KW,11
BE,10
BA,10
AM,7
AT,5
DO,5
BH,4
PY,4
SI,4
SA,4
PR,4
MQ,4
BS,4
JO,4
UG,3
OM,3
SZ,3
LB,3
RE,2
MK,2
MM,2
AW,2
EC,2
LK,2
TT,2
JM,2
BO,2
NG,2
NC,2
DK,2
QA,2
AN,2
AE,2
GN,2
KG,1
BY,1
MO,1
IQ,1
TZ,1
GH,1
BN,1
SD,1
MZ,1
BW,1
FJ,1
SV,1
PE,1
PF,1
HN,1
UY,1
MU,1
SK,1
